"Name","totalWells","Runtime","eliteSize","mutationRate","numGenerations","populationSize","tournamentSize","finalMSE","monetaryCost","timeCost"
"sparkling-sweep-176","13","966","3","0.1","200","50","4","0.12141548842191696","363568.95732471097","36356.8957324711"
"hopeful-sweep-208","13","445","3","0.15","200","20","3","0.12144488841295242","363141.295069178","36314.129506917794"
"decent-sweep-210","13","797","3","0.15","200","20","6","0.12144242972135544","363139.2285659132","36313.92285659133"
"vague-sweep-268","13","1074","4","0.1","100","100","3","0.120951309800148","363627.98840134137","36362.798840134135"
"olive-sweep-123","13","562","3","0.05","100","50","6","0.11954498291015624","361441.0613515641","36144.106135156406"
"treasured-sweep-102","13","474","2","0.15","200","20","6","0.12146259844303132","363383.94010255794","36338.39401025579"
"curious-sweep-229","13","384","4","0.05","100","50","3","0.12117482721805573","362150.098427995","36215.009842799496"
"lunar-sweep-233","13","1134","4","0.05","100","100","4","0.1209895983338356","363469.75544957427","36346.97554495742"
"usual-sweep-97","13","1579","2","0.15","150","100","3","0.1213829070329666","363756.32223916746","36375.63222391675"
"twilight-sweep-93","13","325","2","0.15","150","20","6","0.12146894633769988","362666.2114037237","36266.621140372365"
"silver-sweep-32","13","1056","2","0.05","200","50","4","0.1214323341846466","363572.2542895453","36357.22542895451"
"lemon-sweep-90","13","1106","2","0.15","100","100","6","0.1214120015501976","363725.19737034553","36372.51973703455"
"elated-sweep-104","13","1051","2","0.15","200","50","4","0.12142868340015411","363626.42815262254","36362.642815262254"
"wild-sweep-215","13","1795","3","0.15","200","100","4","0.12138952314853668","363858.5963695422","36385.85963695422"
"wandering-sweep-158","13","500","3","0.1","100","50","4","0.1201525405049324","363268.67540933785","36326.86754093378"
"ancient-sweep-240","13","691","4","0.05","150","50","6","0.12123149633407591","363229.90903045615","36322.99090304562"
"pious-sweep-140","13","760","3","0.05","200","50","4","0.12148363143205644","363195.6524638362","36319.565246383616"
"glowing-sweep-238","13","1013","4","0.05","150","50","3","0.12152673304080965","362983.6176394381","36298.361763943816"
"amber-sweep-108","13","2072","2","0.15","200","100","6","0.12138403207063676","363774.9468844698","36377.49468844698"
"pious-sweep-70","13","3282","2","0.1","200","100","3","0.12138483673334122","363770.0974157033","36377.00974157032"
"rich-sweep-88","13","1103","2","0.15","100","100","3","0.1213873326778412","363726.94862899394","36372.69486289939"
"dandy-sweep-36","13","2175","2","0.05","200","100","6","0.12141921371221542","363675.7215394953","36367.57215394952"
"earthy-sweep-86","13","529","2","0.15","100","50","4","0.12122110277414322","363427.8164160981","36342.781641609814"
"whole-sweep-172","13","287","3","0.1","200","20","3","0.12150606513023376","362724.0424309885","36272.40424309886"
"ruby-sweep-63","13","1690","2","0.1","150","100","6","0.12140078097581863","363785.52489086904","36378.55248908691"
"gentle-sweep-173","13","296","3","0.1","200","20","4","0.12153620272874832","363396.8692637693","36339.686926376926"
